GeneSym	uniConSig	Target.List	opt.cut
SMARCC1	1	0	0.491148262456006
FOXO3	0.995236247729157	1	0.491148262456006
RUNX1	0.981748037470637	1	0.491148262456006
TAL1	0.980723343333813	1	0.491148262456006
GLIS2	0.972091573001058	0	0.491148262456006
CREBBP	0.952092902922537	1	0.491148262456006
SETD2	0.942283371098973	1	0.491148262456006
ARNT	0.934332989850067	1	0.491148262456006
FOXO4	0.932673101786838	1	0.491148262456006
MEN1	0.931418744318333	1	0.491148262456006
RUNX2	0.92844270062291	0	0.491148262456006
ARID1A	0.928005985287676	1	0.491148262456006
FLI1	0.927437941537094	1	0.491148262456006
PIK3R1	0.920951812650181	1	0.491148262456006
CDK6	0.920790971340302	1	0.491148262456006
STK11	0.917121124015971	1	0.491148262456006
RPS6	0.915569917145167	0	0.491148262456006
CHEK2	0.910534663831102	1	0.491148262456006
ZNF346	0.910114451184169	0	0.491148262456006
CDKN1B	0.901832247173197	1	0.491148262456006
RARA	0.900368869766446	1	0.491148262456006
ERG	0.899774606116885	1	0.491148262456006
FOXO1	0.897818792625002	1	0.491148262456006
EP300	0.892650804197146	1	0.491148262456006
RB1	0.890205786862975	1	0.491148262456006
ATRX	0.890101519970574	1	0.491148262456006
ATR	0.887234646115339	1	0.491148262456006
GATA1	0.886795148038348	1	0.491148262456006
MAP2K1	0.885741823277521	1	0.491148262456006
SMAD3	0.885656635748251	1	0.491148262456006
PAX7	0.880658667882209	1	0.491148262456006
ERBB2	0.878295291643951	1	0.491148262456006
FGFR2	0.876736668611476	1	0.491148262456006
AIRE	0.874280035811604	0	0.491148262456006
ETS1	0.872829510170382	0	0.491148262456006
SMARCA2	0.872764328251013	0	0.491148262456006
TRIM24	0.872706551834722	1	0.491148262456006
BTK	0.872607994692295	1	0.491148262456006
STAT5B	0.872087902547767	1	0.491148262456006
RUNX3	0.870537440025791	0	0.491148262456006
PRKDC	0.870330878645438	0	0.491148262456006
KAT6A	0.870083949036734	1	0.491148262456006
PML	0.869461425552956	1	0.491148262456006
SMARCA4	0.869399415638475	1	0.491148262456006
POU1F1	0.869115660406246	0	0.491148262456006
HHEX	0.868327270592459	0	0.491148262456006
CCND1	0.868242392391522	1	0.491148262456006
SMARCC2	0.867478067125273	0	0.491148262456006
ATM	0.865470863478743	1	0.491148262456006
CTNNB1	0.863901555643063	1	0.491148262456006
MED12	0.863406058297774	1	0.491148262456006
HOXC11	0.86332217139624	1	0.491148262456006
NFATC3	0.862416472724462	0	0.491148262456006
SPI1	0.861983581650211	0	0.491148262456006
IRS1	0.861757652494987	0	0.491148262456006
AR	0.860665124811323	1	0.491148262456006
WEE1	0.860218600149154	0	0.491148262456006
