REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION	PID_S1P_META_PATHWAY	REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	REACTOME_COMPLEMENT_CASCADE	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	BIOCARTA_P53_PATHWAY	PID_S1P_S1P3_PATHWAY	REACTOME_REGULATION_OF_IFNA_SIGNALING	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	PID_S1P_S1P1_PATHWAY	BIOCARTA_LAIR_PATHWAY	REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE	REACTOME_DEADENYLATION_OF_MRNA	REACTOME_POTASSIUM_CHANNELS	PID_CD8_TCR_DOWNSTREAM_PATHWAY	BIOCARTA_COMP_PATHWAY	SIG_CD40PATHWAYMAP	REACTOME_ADHERENS_JUNCTIONS_INTERACTIONS	PID_ANTHRAX_PATHWAY	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	KEGG_NITROGEN_METABOLISM	BIOCARTA_CELLCYCLE_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	REACTOME_GENERIC_TRANSCRIPTION_PATHWAY	SA_G1_AND_S_PHASES	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	PID_NEPHRIN_NEPH1_PATHWAY	REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	REACTOME_SIGNALING_BY_NODAL
1	0.002841	0	0	0.9975	0.002865	0.003021	1	0.9755	0.006024	0	0.002941	0.003012	0.00295	0.002976	0.9795	0	0	0.002747	0	0.002786	0.002899	0.002809	0.002747	0	0.006135	0.003096	0	0.002841	0.006211
0.007979	1	0.00838	0.007958	0.005222	0.005618	1	0.01099	0.002519	0.00545	1	0.005587	0.01333	0.008174	0.008219	0.005494	0.005714	0.005236	0.005038	0.005435	0.002571	0.005464	0.009926	0	0.01263	0.002625	0.01695	0.005988	0.007557	0.00505
0.006579	0	1	0	0.1036	0	0	0.007407	0.006289	0.003509	0	0	0	0.003145	0	0.003215	0.003484	0.006734	0.006431	0	0	0	0	0.01936	0.003704	0	0	0.003226	0.009146	0
0.002817	0	0.002703	1	0.005714	0.00271	0.005917	0	0.01408	0.01055	0.002801	0.008475	0.0114	0.005682	0.005848	0.003165	1	0	0.0109	0.002732	0.005666	0.0122	0.00289	0.008475	0.009146	0.002825	0.008746	0.0163	0.008824	0.002817
0.04669	0	0.004219	0	1	0	0	0.01141	0.1029	0	0.004464	0	0.004219	0	0	0.01859	0	0	0	0	0	0	0	0.007018	0	0	0	0	0	0
0.01746	0.008021	0.00545	0.0107	0.01193	1	0.01534	0.01067	0.01247	0.01897	0.01596	0.01907	0.002646	0.009524	0.007299	0.002778	0.008264	0.0102	0.0133	0.01053	0.005319	0.01837	1	0.016	0.01333	1	0.01309	0.009732	0.002778	0.01337
0.01445	0.2265	0.02154	0.005731	0.005128	0.01034	1	0.01136	0.01081	0.005865	1	0.00303	0.005952	0.008721	0.01802	0.002755	0.01087	0.005525	0.00303	0.01835	0.01449	0.008356	0.006173	0	0.006154	0.01359	0.005494	0.002809	0.138	0.01081
1	0.01458	0.01872	0.01635	1	0.002825	0.01333	1	1	0.01635	0.01462	0.01681	0.01902	0.01639	0.002865	1	0.0221	0.01923	0.02174	0.01966	0.01124	0.02452	0.01923	0.005831	0.007895	0.008242	0.01639	0.02235	0.01385	0.005865
0.3096	0.003953	0.0241	0.01056	0.9842	0.01521	0	0.3152	1	0.003704	0.003636	0.007463	0.02518	0.003846	0.007435	0.3022	0.007407	0.003676	0.007491	0.006873	0.004167	0.003322	0.01132	0.01633	0.01119	0	0.003788	0.007605	0	0.007752
0.008621	0.02508	0.01282	0.0228	0.006098	0.0119	0.0177	0.02128	0.02933	1	0.01258	0.003356	0.009146	0.005831	1	0.01548	0.009317	0.02477	0.01863	0.02228	0.009202	0.01266	0.02141	0.01286	0.01216	0.006349	0.01497	0.003021	0.006135	0.01863
0.03394	1	0.05413	0.03226	0.02507	0.03047	1	0.05026	0.0327	0.04043	1	0.06145	0.06371	0.04359	0.04928	0.05512	0.04432	0.03618	0.02528	0.03627	0.06061	0.06158	0.05278	0.02989	0.0411	0.03485	0.05362	0.02828	0.3	0.03867
0.05556	0.04439	1	1	1	0.06835	0.05483	0.06736	0.04557	0.03714	0.06731	1	0.0619	0.05122	0.05473	0.03947	1	0.06604	0.06602	1	0.0516	0.04021	0.07181	0.08556	0.07235	0.02865	0.03807	0.04556	1	0.06767
0.08947	0.07264	0.05277	0.07494	0.06216	0.07629	0.04987	0.03109	0.04306	0.0557	0.05958	0.06069	1	0.04533	0.04787	0.07068	0.0425	1	0.05569	0.0554	0.05263	1	0.06333	0.05048	0.05357	0.03937	1	0.05744	0.06101	0.07273
