PID_IGF1_PATHWAY	BIOCARTA_INTEGRIN_PATHWAY	REACTOME_ERK_MAPK_TARGETS	REACTOME_DESTABILIZATION_OF_MRNA_BY_KSRP	REACTOME_DESTABILIZATION_OF_MRNA_BY_BRF1	REACTOME_UNFOLDED_PROTEIN_RESPONSE	REACTOME_DESTABILIZATION_OF_MRNA_BY_TRISTETRAPROLIN_TTP	PID_INTEGRIN_A9B1_PATHWAY	REACTOME_CHONDROITIN_SULFATE_BIOSYNTHESIS	BIOCARTA_MCALPAIN_PATHWAY	REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	BIOCARTA_MET_PATHWAY	REACTOME_OXYGEN_DEPENDENT_PROLINE_HYDROXYLATION_OF_HYPOXIA_INDUCIBLE_FACTOR_ALPHA	REACTOME_ACTIVATION_OF_CHAPERONE_GENES_BY_XBP1S	REACTOME_SIGNALING_BY_ROBO_RECEPTOR	REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION	BIOCARTA_IGF1R_PATHWAY	REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	ST_ERK1_ERK2_MAPK_PATHWAY	BIOCARTA_INSULIN_PATHWAY	REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B	BIOCARTA_HDAC_PATHWAY	REACTOME_ENDOSOMAL_SORTING_COMPLEX_REQUIRED_FOR_TRANSPORT_ESCRT	REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS	PID_RHODOPSIN_PATHWAY	REACTOME_RNA_POL_III_TRANSCRIPTION_TERMINATION	REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN	REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A	PID_ECADHERIN_STABILIZATION_PATHWAY	ST_PHOSPHOINOSITIDE_3_KINASE_PATHWAY
1	0.003175	0	0	0	0	0	0	0	0.001575	0	0.01268	0	0	0	0	0.001577	0	0	0.001623	0	0	0	0	0	0	0	0	0	0.001605
0.00487	1	0	0	0	0	0	0	0	0.00477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.00318	0.001684	1	0.006536	0	0.001623	0.003226	0.004839	0.003252	0.005155	0	0.003236	0.004739	0	0.003247	1	0.00638	0	1	0.003221	0.003231	0.001608	0.001631	0.00156	0	0.004862	0	0.00165	0.00161	0.01478
0.003273	0.008104	0.02233	1	1	1	1	0.0033	0.009346	0.005034	0.004992	0.006279	0.001631	0.006494	0.01309	0.02288	0.01618	0.01133	0.004815	0.00159	0	0.02128	0.0016	0.00627	0.006192	0.001582	0.003215	0.009804	0.00821	1
0.01297	0.004717	0.001626	1	1	1	1	0.008518	0.003252	0	0.006349	0.006483	0.006849	0.006885	0.001572	0.001727	0.009554	0.0064	0.003242	0.001639	0.006309	0.01167	0.004886	0.003215	0.003165	0.009317	0.01015	0.004934	0.009788	1
0	0	0	0.004323	0.007153	1	0.005464	0	0	0	0	0	0	0.04496	0.001406	0.001368	0.001389	0	0.001412	0.001379	0	0.002736	0	0	0	0	0	0	0.002841	0
0.004792	0.005068	0.004854	1	1	1	1	0.003252	0.006441	0.009804	0.003195	0.009852	0.01229	0.006536	0.009509	0.001642	0.006483	0.003284	0.006441	0.008197	0.008237	0.004878	0.003185	0.01124	0.008052	0.0096	0.006504	0.0033	0.00319	0.02439
0.03374	0.0205	0.00313	0.009146	0.004601	0.006359	0.001546	1	0.008026	0.02247	0.004658	0.01863	0.01096	0.00471	0.003185	0.004399	0.01242	0.003026	0.002928	0.007949	0.0064	0.01908	0.007716	0.008039	0.008183	0.01129	0.003135	0.004688	0.007886	0.004886
0.009677	0.0048	0.01129	0.0173	0.008183	0.006107	0.009646	0.01618	1	0.00641	0.00638	0.01125	0.01483	0.007899	0.006547	0.009585	0.009756	0.01754	0.0112	0.01148	0.01597	0.004926	0.02037	0.01188	0.009524	0.008278	0.006483	0.009901	0.01155	0.0096
0.009464	1	0.01125	0.00936	0.01679	0.006309	0.004559	0.03481	0.004777	1	0.007825	0.1629	0.01229	0.006644	0.007764	0.01096	0.001572	0.0125	0.008264	0.01654	0.01089	0.01312	0.0122	0.004546	0.001577	0.009524	0.004608	0.009569	0.003306	0.0078
