HALLMARK_E2F_TARGETS	REACTOME_MITOTIC_PROMETAPHASE	REACTOME_DNA_REPLICATION	HALLMARK_G2M_CHECKPOINT	REACTOME_CELL_CYCLE	REACTOME_MITOTIC_M_M_G1_PHASES	PID_AURORA_B_PATHWAY	REACTOME_CELL_CYCLE_MITOTIC	REACTOME_CHROMOSOME_MAINTENANCE	PID_PLK1_PATHWAY	REACTOME_RNA_POL_I_PROMOTER_OPENING	HALLMARK_MYC_TARGETS_V1	REACTOME_MEIOTIC_SYNAPSIS	REACTOME_TELOMERE_MAINTENANCE	REACTOME_G2_M_CHECKPOINTS	KEGG_CELL_CYCLE	REACTOME_DEPOSITION_OF_NEW_CENPA_CONTAINING_NUCLEOSOMES_AT_THE_CENTROMERE	REACTOME_PACKAGING_OF_TELOMERE_ENDS	REACTOME_DNA_STRAND_ELONGATION	REACTOME_MEIOTIC_RECOMBINATION	REACTOME_MEIOSIS	KEGG_DNA_REPLICATION	PID_AURORA_A_PATHWAY	REACTOME_G1_S_TRANSITION	PID_FOXM1_PATHWAY	REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	REACTOME_S_PHASE	REACTOME_MITOTIC_G1_G1_S_PHASES	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	PID_E2F_PATHWAY
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	1	0	0.02806	0	1	0.004552	0	0	0.02101	0.001515	0	0.09482	1	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	1	0.004335	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0.002981	0.001492	1	1	0
0	0	0.003769	0	0.2722	0	0	0.1255	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	1	0	0.01054	0	0.01065	0.00774	0	0	1	0.007519	0	0.01282	0.01497	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0
1	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0
0	0	0	0	0.1285	0	0	0	0.03892	0	0.0614	0	0.0524	0.004323	0	0	0.01599	0.01712	0	1	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0.1371	0	0	0	0.03044	0	0.01774	0	0.03655	0.001437	0	0	0.002625	0.001374	0	0.09065	1	0	0	0	0	0	0	0	0	0
1	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0.001482	0	0
0	0	0	0	0	0	0	0.001479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0.02558	0	0	0	0	0	0	0	1	0	0	0	1	0	0
0.01302	0	0	0.04882	0.3803	0	0	0.05082	0	0	0	0	0	0	0	0.007407	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0	0	1	0	1	1	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	1	1	1	1	0
0.001284	0	0.06088	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0.001266	0	0	0	0	0	0	0	1	0	0	0
0.001232	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0.01011	0	0	0	0	0	0	0	0.1577	0	0	0	1	0	0
0.002907	0	1	0	1	1	0	1	0	0	0	0.001408	0	0	1	1	0	0	0.002985	0	0	0.005731	0	1	0	1	1	1	1	0
0.002721	0	0.001297	0	0.01116	0	0	0.002782	0	0	0	0	0	0	0	0.001406	0	0	0	0	0	0	0	0.002674	0	0	0	0.01019	0	1
