HALLMARK_INTERFERON_ALPHA_RESPONSE	REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	REACTOME_REGULATION_OF_IFNA_SIGNALING	REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION	KEGG_REGULATION_OF_AUTOPHAGY	KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	KEGG_RETINOL_METABOLISM	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_DRUG_METABOLISM_CYTOCHROME_P450	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	PID_CD8_TCR_DOWNSTREAM_PATHWAY	HALLMARK_INTERFERON_GAMMA_RESPONSE	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_AUTOIMMUNE_THYROID_DISEASE	REACTOME_INTERFERON_GAMMA_SIGNALING	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	PID_TRAIL_PATHWAY	NABA_SECRETED_FACTORS	REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS	NABA_MATRISOME_ASSOCIATED	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	BIOCARTA_TPO_PATHWAY	REACTOME_IRON_UPTAKE_AND_TRANSPORT	BIOCARTA_CERAMIDE_PATHWAY	BIOCARTA_IL10_PATHWAY	NABA_MATRISOME	KEGG_JAK_STAT_SIGNALING_PATHWAY	REACTOME_OLFACTORY_SIGNALING_PATHWAY
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	1	1	1	0	0	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0
0	1	0	0.5382	1	0.5075	0	0	1	0	0.5015	0.5042	0	1	0.5435	0	1	0.5084	0	0.4613	1	0.5269	0.5382	0	0	0	0	0.5044	1	0
0	0.8256	0	0.8395	0.8516	1	0	0	0.6956	0	0.8009	0.8611	0	0.8116	0.8034	0	0.8009	0.8262	0	0.7979	0.843	0.8235	0.8003	0	0	0	0	0.8114	0.8138	0
0	0	0.008621	0	0	0	1	0.01739	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.01479	0	0	0	0.1053	1	0	0.1284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.02941	0	0.02734	0.01149	0.03814	0	0	1	0	0.08064	0.05952	0	0.281	0.04858	0	0.3564	0.0412	0	0.1358	0.2064	0.1137	0.0613	0	0	0	0	0.08915	0.02143	0
0	0	0.0122	0	0	0	1	0.0509	0	1	0	0	0	0	0	0	0	0	0	0.003759	0.003185	0	0	0	0	0	0	0.003663	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.005682	0	0	0	0	0	0	0	0.01036	0.005525	0
0	0.1107	0	0.1418	0.04348	0.06667	0.004329	0	0.1509	0	0.3547	1	0	0.07171	0.0188	0	0.4183	0.1201	0	0.08429	0.1027	0.09163	0.2203	0	0	0	0	0.07752	0.1746	0
0.02649	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0.3754	0	0.2243	0.5263	0.4519	0	0	0.6478	0	0.3472	0.2384	0	1	0.459	0	0.5804	0.4276	0	0.4251	0.4817	0.3488	0.4178	0	0	0	0	0.4244	0.4511	0
0	0.8319	0	0.5161	0.5174	0.7257	0.007246	0	0.7414	0	0.66	0.5307	0	0.7382	1	0	0.5421	1	0	0.4451	0.5149	0.4672	1	0.01027	0	0.006944	0	0.4333	0.4622	0
0.02264	0.08654	0	0	0	0	0.003846	0	0	0.004065	0	0	0.2606	0	0.007752	1	0.003676	0.006826	0.003953	0	0.003861	0	0.007353	0	0	0	0.007143	0	0	0
0.005076	0.2267	0	0.1268	0.09009	0.05825	0	0	0.219	0	0.2	0.2238	0	0.291	0.04762	0	1	0.05	0	0.108	0.1564	0.09483	0.4126	0	0.005208	0	0	0.0829	0.3655	0.004831
0.004098	0.2607	0	0.08064	0.08333	0.1053	0	0	0.1609	0	0.1369	0.2778	0	0.1606	0.2667	0	0.1443	1	0	0.152	0.09205	0.6463	0.3913	0	0	0.008264	0	0.676	0.1213	0.00369
0.006472	0.009554	0	0.006644	0	0	0	0.00627	0.064	0	0.009375	0	0.01852	0.0125	0.003145	0.003205	1	0	1	0.003401	0.06897	0.006369	1	0.005698	0.003195	0.1054	0.003257	0.003268	0	0.003096
0	0.006173	0	0	0	0	0	0	0.01504	0	0.2011	0	0	0.005988	0	0	0.007092	0	0	1	0	1	0	0	0	0	0	1	0	0
0.01626	0.5216	0	0.1837	0.1246	0.1398	0	0	0.9721	0	0.1706	0.1964	0	0.3649	0.173	0.01282	0.724	0.1934	0.004082	0.1151	1	0.1308	0.1339	0	0.004167	0.004065	0	0.1167	0.1	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
0	0.2392	0	0.1058	0.05454	0.06667	0	0	0.1777	0	0.2705	0.1833	0.004902	0.1036	0.1085	0	0.4444	0.1658	0	0.199	0.01117	0.2098	1	0	0	0.005319	0	0.2093	0.2826	0
0.01466	0.03354	0	0.02685	0.009375	0.009174	0.008876	0.01242	0.003165	0.006689	0.01303	0.02609	0.02614	0.0129	0.006472	0.03236	1	0.005988	0.02402	0.01278	0.006536	0.008902	1	1	0.003268	0.0236	0.02154	0.01543	1	0.006579
0.006536	0.003236	0	0.01003	0.00625	0.009772	0.006452	0	0.003509	0.01312	0.006329	0.01592	0.003356	0	0.00623	0.00641	0.003068	0.006644	0	0.006494	0.003311	0.003472	0.006689	0.006061	1	0.006622	0.006644	0.006734	0.006494	0.02265
0.05152	0.01899	0.02885	0.009259	0.01445	0.01027	0.02469	0.01929	1	0.006349	0.01881	0.01238	0.05917	0.04819	0.01562	0.02839	1	0.01324	1	0.01987	0.3054	0.01034	0	0.00289	0.01	1	0.01954	0.01235	0.009434	0.01618
0.0177	1	0.03571	1	0.02381	0.02849	0.02128	0.01824	0.04373	0.03264	1	1	1	0.03205	0.005571	1	1	0.01208	0.03047	1	0.02059	1	0.02965	1	0.03209	0.02395	1	1	1	0.02744
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2761	0	0	0	0	0	1	0	0
0	0.241	0	0.1779	0.04348	0.06936	0	0	0.0973	0	0.6055	0.2147	0	0.1227	0.08929	0	0.3925	0.1047	0	0.06383	0.0578	0.04568	0.4313	0	0	0	0.00495	0.05682	1	0.005988
0.006536	0.0165	0.01558	0.01027	0.01282	0.01961	0.0216	0.03584	0.01487	0.01356	0.01045	0.006369	0.006622	0.01553	0.01558	0.01303	0.009901	0.01146	0.003367	0.007092	0.009585	0.01375	0.006557	0.01307	0.009677	0.006192	0.01031	0.009677	0.01333	1
