	Compare.List	NES	pValue	qValue
1	HALLMARK_MYC_TARGETS_V2	2.19322855166282	0	0
2	HALLMARK_E2F_TARGETS	2.134695803569	0	0
3	REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS	2.1084875754707	0.001	0.1358
4	REACTOME_ALPHA_LINOLENIC_ACID_ALA_METABOLISM	2.02714024444599	0.005	0.452666666666667
5	REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	2.00124802499486	0	0
6	REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN	1.93688723587684	0	0
7	KEGG_STEROID_BIOSYNTHESIS	1.8970715530739	0.007	0.500315789473684
8	REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX	1.84087902556961	0.026	0.980777777777778
9	REACTOME_UNWINDING_OF_DNA	1.82177319320072	0.028	1
10	REACTOME_METABOLISM_OF_POLYAMINES	1.81959680724895	0.012	0.65184
11	KEGG_SELENOAMINO_ACID_METABOLISM	1.78677531058725	0.007	0.500315789473684
12	REACTOME_POL_SWITCHING	1.77971022261695	0.018	0.842896551724138
13	KEGG_DNA_REPLICATION	1.7771460145569	0.001	0.1358
14	KEGG_N_GLYCAN_BIOSYNTHESIS	1.76672386890062	0.001	0.1358
15	REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	1.75925005539251	0.007	0.500315789473684
16	BIOCARTA_RANMS_PATHWAY	1.75588558665235	0.039	1
17	REACTOME_MRNA_DECAY_BY_3_TO_5_EXORIBONUCLEASE	1.73633958397155	0.046	1
18	HALLMARK_G2M_CHECKPOINT	1.73406273029569	0	0
19	REACTOME_MRNA_DECAY_BY_5_TO_3_EXORIBONUCLEASE	1.72764822867962	0.02	0.864181818181818
20	REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT	1.6935905314557	0.01	0.65184
21	REACTOME_DNA_STRAND_ELONGATION	1.68346137997372	0.011	0.65184
22	BIOCARTA_MCM_PATHWAY	1.6717682407963	0.021	0.864181818181818
23	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	1.65698348735852	0.011	0.65184
24	REACTOME_SULFUR_AMINO_ACID_METABOLISM	1.65617703373036	0.015	0.754444444444444
25	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1.63783524015488	0.024	0.958588235294118
26	REACTOME_METABOLISM_OF_NUCLEOTIDES	1.63408778119946	0.004	0.417846153846154
27	REACTOME_TRNA_AMINOACYLATION	1.63102754331817	0.007	0.500315789473684
28	REACTOME_ASSOCIATION_OF_LICENSING_FACTORS_WITH_THE_PRE_REPLICATIVE_COMPLEX	1.62837699435644	0.048	1
29	REACTOME_AMINO_ACID_AND_OLIGOPEPTIDE_SLC_TRANSPORTERS	1.61600479678677	0.012	0.65184
30	REACTOME_MITOTIC_PROMETAPHASE	1.60481281406844	0.002	0.246909090909091
31	REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	1.60473231313792	0.042	1
32	REACTOME_DESTABILIZATION_OF_MRNA_BY_TRISTETRAPROLIN_TTP	1.60316603007617	0.041	1
33	REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	1.59113303216181	0.031	1
