	conf.int.low	foldChange.MLE	conf.int.up	conservative.foldChange	Signed.P.Zscore	Signed.Q.Value
PARS2	1.85122624043583	5.25347987150708	6.95460668704274	1.85122624043583	3.08970647474655	2.96502936349372e-05
XDH	1.45096110736863	4.50298274700607	7.35487182010993	1.45096110736863	2.89459910458963	2.96502936349372e-05
TMEM38A	1.25082854083502	4.65308217190629	6.45427527070873	1.25082854083502	2.78501016230891	2.96502936349372e-05
EFNA1	1.45096110736863	5.05334730497349	6.75447412050911	1.45096110736863	2.68604693166614	2.96502936349372e-05
CTSO	0.500331416334008	2.20145823186964	4.15275075557229	0.500331416334008	2.61684219624578	2.96502936349372e-05
GIMAP5	0.450298274700607	2.10139194860284	3.80251876413847	0.450298274700607	2.56035232846011	2.96502936349372e-05
GIMAP1-GIMAP5	0.450298274700607	2.10139194860284	3.80251876413847	0.450298274700607	2.56035232846011	2.96502936349372e-05
ZKSCAN4	2.00132566533604	5.70377814620768	7.55500438664353	2.00132566533604	2.54691397814316	2.96502936349372e-05
ZNF429	0.600397699600813	2.75182278983705	5.30351301314049	0.600397699600813	2.51936733864772	2.96502936349372e-05
POMT2	0.750497124501012	3.30218734780446	6.35420898744191	0.750497124501012	2.48213913860737	2.96502936349372e-05
REEP3	0.400265133067206	2.10139194860284	3.95261818903866	0.400265133067206	2.46572684056799	2.96502936349372e-05
COLCA2	0.750497124501012	4.05268447230547	6.40424212907532	0.750497124501012	2.44368653887352	2.96502936349372e-05
PPP1R3B	0.750497124501012	4.35288332210588	7.25480553684312	0.750497124501012	2.35088892294893	2.96502936349372e-05
C1GALT1C1	0.350231991433809	2.55169022330344	5.25347987150708	0.350231991433809	2.29618858212832	2.96502936349372e-05
DR1	0.250165708167004	2.10139194860284	4.05268447230547	0.250165708167004	2.28467822272513	2.96502936349372e-05
TMEM185A	0.450298274700607	3.20212106453766	6.0540101376415	0.450298274700607	2.27033746683578	2.96502936349372e-05
CD38	0.450298274700607	3.55235305597146	6.40424212907532	0.450298274700607	2.26086728064146	2.96502936349372e-05
CYTH4	0.250165708167004	2.10139194860284	4.25281703883907	0.250165708167004	2.25678841387581	2.96502936349372e-05
SOWAHB	1.30086168246842	5.50364557967409	7.15473925357633	1.30086168246842	2.2354711882153	2.96502936349372e-05
KCNMB1	0.700463982867611	4.55301588863948	6.40424212907532	0.700463982867611	2.2151723482248	2.96502936349372e-05
FSD2	0.600397699600813	4.55301588863948	6.35420898744191	0.600397699600813	2.19254599898924	2.96502936349372e-05
FAM171B	0.350231991433809	4.10271761393888	6.10404327927491	0.350231991433809	2.17455308021869	2.96502936349372e-05
TMEM60	0.200132566533604	2.05135880696944	4.05268447230547	0.200132566533604	2.16855864256254	2.96502936349372e-05
EBI3	0.150099424900204	1.85122624043583	3.90258504740528	0.150099424900204	2.15951862691279	2.96502936349372e-05
WDPCP	0.250165708167004	2.80185593147045	5.95394385437472	0.250165708167004	2.14604388848234	2.96502936349372e-05
BCDIN3D	0.250165708167004	3.45228677270465	6.15407642090832	0.250165708167004	2.14120870644186	2.96502936349372e-05
IL27	0.250165708167004	3.80251876413847	5.75381128784109	0.250165708167004	2.13592820676918	2.96502936349372e-05
PSTPIP2	0.300198849800404	4.10271761393888	6.10404327927491	0.300198849800404	2.12265581649666	2.96502936349372e-05
ZBTB26	0.150099424900204	2.30152451513644	6.55434155397551	0.150099424900204	2.11890705751815	2.96502936349372e-05
SMTNL1	0.200132566533604	3.45228677270465	6.10404327927491	0.200132566533604	2.09139617202966	2.96502936349372e-05
ABCD4	0.150099424900204	3.00198849800405	6.20410956254173	0.150099424900204	2.08113108663247	2.96502936349372e-05
GIMAP1	0.0500331416334001	1.90125938206924	4.05268447230547	0.0500331416334001	2.06145224951081	2.96502936349372e-05
GPX8	0.250165708167004	4.30285018047248	6.20410956254173	0.250165708167004	2.05635401045375	2.96502936349372e-05
GBP6	0.150099424900204	3.70245248087165	5.6037118629409	0.150099424900204	2.05226659508226	2.96502936349372e-05
METTL7A	0.0500331416334001	1.75115995716903	3.60238619760487	0.0500331416334001	2.0247510521681	2.96502936349372e-05
CSK	0	1.65109367390223	3.30218734780446	0	2.01270626060894	2.96502936349372e-05
UCKL1	0	1.85122624043583	4.00265133067206	0	2.00812439362165	2.96502936349372e-05
CSRNP2	0.0500331416334001	2.60172336493685	6.55434155397551	0.0500331416334001	1.99704800292706	2.96502936349372e-05
SDCBP2	0	4.05268447230547	6.0039769960081	0	1.96353955507109	2.96502936349372e-05
INTS6	-0.0500331416334001	1.55102739063543	3.05202163963746	0	1.95470847254657	2.96502936349372e-05
ZNF180	-0.0500331416334001	2.05135880696944	4.25281703883907	0	1.95223513063008	2.96502936349372e-05
MRPL44	-0.0500331416334001	1.60106053226883	3.35222048943787	0	1.95048010290792	2.96502936349372e-05
TTC30A	-0.0500331416334001	2.60172336493685	5.50364557967409	0	1.93919720076647	2.96502936349372e-05
TTC30B	-0.0500331416334001	2.60172336493685	5.50364557967409	0	1.93919720076647	2.96502936349372e-05
TMEM177	-0.0500331416334001	2.65175650657025	5.75381128784109	0	1.93127608411066	2.96502936349372e-05
NUDT19	-0.0500331416334001	1.90125938206924	4.00265133067206	0	1.92593797696105	2.96502936349372e-05
APBA1	-0.100066283266801	4.00265133067206	5.95394385437472	0	1.92494885619251	2.96502936349372e-05
UTP15	-0.0500331416334001	1.85122624043583	3.70245248087165	0	1.91342063616681	2.96502936349372e-05
ACRBP	-0.100066283266801	3.60238619760487	5.6037118629409	0	1.90802814859402	2.96502936349372e-05
DOCK6	-0.150099424900204	2.90192221473725	5.85387757110791	0	1.89244649961733	2.96502936349372e-05
PRELP	-0.200132566533604	3.85255190577187	5.8038444294745	0	1.89127144102498	2.96502936349372e-05
CAPSL	-0.150099424900204	2.60172336493685	5.75381128784109	0	1.88863035586652	2.96502936349372e-05
ZNF521	-0.100066283266801	2.10139194860284	4.15275075557229	0	1.88831826788719	2.96502936349372e-05
ZNF780A	-0.150099424900204	2.50165708167004	5.40357929640731	0	1.88762560315114	2.96502936349372e-05
IFIT1B	-0.200132566533604	2.95195535637065	5.95394385437472	0	1.87491091296081	2.96502936349372e-05
PLAG1	-0.100066283266801	1.90125938206924	4.20278389720566	0	1.87482584310951	2.96502936349372e-05
RAB20	-0.150099424900204	2.35155765676984	6.0540101376415	0	1.86901391233165	2.96502936349372e-05
PTAFR	-0.100066283266801	1.75115995716903	3.80251876413847	0	1.86614451759455	2.96502936349372e-05
KCND1	-0.200132566533604	3.45228677270465	5.50364557967409	0	1.86331594393541	2.96502936349372e-05
ARHGEF33	-0.250165708167004	3.85255190577187	5.75381128784109	0	1.85303269286703	2.96502936349372e-05
KIF5A	-0.300198849800404	3.95261818903866	5.90391071274131	0	1.84756944839005	2.96502936349372e-05
FAM174A	-0.150099424900204	2.10139194860284	4.70311531353967	0	1.84301218674965	2.96502936349372e-05
FST	-0.350231991433806	4.05268447230547	6.0540101376415	0	1.8255316500445	2.96502936349372e-05
METTL9	-0.200132566533604	1.90125938206924	4.05268447230547	0	1.82086775600484	2.96502936349372e-05
CFAP300	-0.300198849800404	3.60238619760487	5.5536787213075	0	1.81871071453763	2.96502936349372e-05
CLDN23	-0.400265133067206	4.05268447230547	5.95394385437472	0	1.81816960648771	2.96502936349372e-05
APLN	-0.300198849800404	3.40225363107127	5.40357929640731	0	1.80938527895588	2.96502936349372e-05
HDHD3	-0.350231991433806	3.70245248087165	5.70377814620768	0	1.80589744055058	2.96502936349372e-05
HGFAC	-0.250165708167004	2.15142509023624	5.1033804466069	0	1.80001551910974	2.96502936349372e-05
PODNL1	-0.350231991433806	3.35222048943787	5.30351301314049	0	1.79059084628086	2.96502936349372e-05
DSEL	-0.500331416334008	2.60172336493685	6.10404327927491	0	1.78917436793996	2.96502936349372e-05
SLC2A10	-0.600397699600813	4.75314845517308	6.80450726214252	0	1.78143302212426	2.96502936349372e-05
OVCA2	-0.350231991433806	3.40225363107127	5.50364557967409	0	1.77590684599621	2.96502936349372e-05
MS4A6A	-0.200132566533604	1.75115995716903	3.95261818903866	0	1.77314508061445	2.96502936349372e-05
MS4A6E	-0.200132566533604	1.75115995716903	3.95261818903866	0	1.77314508061445	2.96502936349372e-05
TOMM20L	-0.400265133067206	3.45228677270465	5.40357929640731	0	1.76614650610773	2.96502936349372e-05
NHLRC1	-0.500331416334008	4.05268447230547	6.20410956254173	0	1.76455016038244	2.96502936349372e-05
RTP4	-0.200132566533604	1.65109367390223	3.30218734780446	0	1.75681589037981	2.96502936349372e-05
TBXA2R	-0.500331416334008	3.85255190577187	5.75381128784109	0	1.75451415749251	2.96502936349372e-05
SNX32	-0.350231991433806	2.25149137350304	5.05334730497349	0	1.74643970943603	2.96502936349372e-05
MSS51	-0.450298274700607	2.75182278983705	5.90391071274131	0	1.74498138902952	2.96502936349372e-05
CES2	-0.300198849800404	2.10139194860284	5.1033804466069	0	1.74329978527486	2.96502936349372e-05
DNAJC14	-0.300198849800404	2.15142509023624	5.5536787213075	0	1.73623720083951	2.96502936349372e-05
KCNB1	-0.550364557967409	3.85255190577187	5.8038444294745	0	1.72536446899027	2.96502936349372e-05
RNF126	-0.450298274700607	3.20212106453766	5.3535461547739	0	1.71309410235667	2.96502936349372e-05
GPAT4	-0.300198849800404	1.65109367390223	3.75248562250506	0	1.69590019313887	2.96502936349372e-05
MAMDC2	-0.350231991433806	1.90125938206924	4.50298274700607	0	1.69099701731156	2.96502936349372e-05
SUGCT	-0.500331416334008	2.75182278983705	5.70377814620768	0	1.67583207558838	2.96502936349372e-05
CNTD1	-0.800530266134413	3.95261818903866	5.90391071274131	0	1.67538923540334	2.96502936349372e-05
ANKRD63	-0.600397699600813	3.30218734780446	5.3535461547739	0	1.67293074048888	2.96502936349372e-05
C12orf49	-0.500331416334008	2.75182278983705	5.75381128784109	0	1.66995521932819	2.96502936349372e-05
ZFYVE1	-0.550364557967409	2.80185593147045	5.95394385437472	0	1.66547845145532	2.96502936349372e-05
TASOR	-0.300198849800404	1.45096110736863	3.15208792290426	0	1.66384635010561	2.96502936349372e-05
POMK	-0.500331416334008	2.05135880696944	4.30285018047248	0	1.64404150386734	2.96502936349372e-05
FCGRT	-0.350231991433806	1.65109367390223	3.95261818903866	0	1.63619119536389	2.96502936349372e-05
C1orf189	-0.850563407767817	3.00198849800405	5.95394385437472	0	1.63302625686012	2.96502936349372e-05
LSM10	-0.300198849800404	1.40092796573523	3.20212106453766	0	1.62131010694585	2.96502936349372e-05
CCDC57	-0.800530266134413	2.70178964820365	5.90391071274131	0	1.61680626633671	2.96502936349372e-05
MAGEE1	-0.500331416334008	2.05135880696944	4.60304903027289	0	1.61605384630425	2.96502936349372e-05
FGL2	-0.600397699600813	2.25149137350304	5.1033804466069	0	1.61239123879535	2.96502936349372e-05
RNU6-8	-0.750497124501012	3.40225363107127	5.25347987150708	0	1.61025233228538	2.96502936349372e-05
PTGES3L	-0.750497124501012	3.20212106453766	5.30351301314049	0	1.60609433348222	2.96502936349372e-05
FAM199X	-0.400265133067206	1.55102739063543	4.10271761393888	0	1.6004427006484	2.96502936349372e-05
TMEM231	-0.600397699600813	2.45162394003664	5.75381128784109	0	1.59231607132734	2.96502936349372e-05
EPM2AIP1	-0.400265133067206	1.55102739063543	3.55235305597146	0	1.59161618707543	2.96502936349372e-05
LOC114841037	-0.750497124501012	3.10205478127086	5.1534135882403	0	1.58651101083718	2.96502936349372e-05
ZNF250	-0.750497124501012	3.10205478127086	5.1534135882403	0	1.56953977447066	2.96502936349372e-05
SLC7A6OS	-0.500331416334008	1.75115995716903	4.10271761393888	0	1.55460226221557	2.96502936349372e-05
RPP38	-0.500331416334008	1.75115995716903	4.30285018047248	0	1.55291240682994	2.96502936349372e-05
PRNP	-0.550364557967409	1.95129252370263	4.9032478800733	0	1.55231371902751	2.96502936349372e-05
ZFP3	-1.20079539920162	4.40291646373929	6.20410956254173	0	1.55025837330493	2.96502936349372e-05
LACTBL1	-0.800530266134413	3.05202163963746	5.20344672987368	0	1.54644681151944	2.96502936349372e-05
HOXB7	-0.950629691034615	3.50231991433806	5.6037118629409	0	1.54035915116808	2.96502936349372e-05
LRRC66	-0.950629691034615	3.45228677270465	5.5536787213075	0	1.53558754109382	2.96502936349372e-05
ZNF770	-0.700463982867611	1.85122624043583	4.95328102170667	0	1.53471378871568	2.96502936349372e-05
