	Compare.List	NES	pValue	qValue
1	HALLMARK_E2F_TARGETS	3.01713019846666	0	0
2	HALLMARK_G2M_CHECKPOINT	2.86545707563968	0	0
3	REACTOME_METABOLISM_OF_NON_CODING_RNA	2.78502509589331	0	0
4	BIOCARTA_RANMS_PATHWAY	2.77271122874522	0	0
5	HALLMARK_MYC_TARGETS_V1	2.77249963858054	0	0
6	HALLMARK_MYC_TARGETS_V2	2.7505420085982	0	0
7	REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	2.73128117978598	0	0
8	REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY	2.68790417527715	0	0
9	REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS	2.68739764580201	0	0
10	REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	2.6666925423363	0	0
11	REACTOME_MITOTIC_PROMETAPHASE	2.66119239525116	0	0
12	REACTOME_PREFOLDIN_MEDIATED_TRANSFER_OF_SUBSTRATE_TO_CCT_TRIC	2.61707079471056	0	0
13	REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT	2.60289262208333	0	0
14	REACTOME_MRNA_3_END_PROCESSING	2.58917616678767	0	0
15	REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	2.5834139903995	0	0
16	REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_	2.57688981022893	0	0
17	KEGG_SPLICEOSOME	2.55785267691579	0	0
18	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	2.5073990427799	0	0
19	KEGG_CITRATE_CYCLE_TCA_CYCLE	2.50090753696652	0	0
20	REACTOME_FORMATION_OF_TUBULIN_FOLDING_INTERMEDIATES_BY_CCT_TRIC	2.48621355506551	0	0
21	BIOCARTA_EIF_PATHWAY	2.48480741177608	0	0
22	BIOCARTA_MCM_PATHWAY	2.48464558051653	0	0
23	KEGG_DNA_REPLICATION	2.47681428999864	0	0
24	HALLMARK_MTORC1_SIGNALING	2.46596908967541	0	0
25	REACTOME_MRNA_PROCESSING	2.45467759193312	0	0
26	REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	2.4356852952611	0	0
27	REACTOME_CYCLIN_A_B1_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION	2.43229383389443	0	0
28	REACTOME_DNA_STRAND_ELONGATION	2.423614668971	0	0
29	REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	2.41589955036641	0	0
30	REACTOME_PYRUVATE_METABOLISM_AND_CITRIC_ACID_TCA_CYCLE	2.41084978448498	0	0
31	REACTOME_MRNA_SPLICING	2.40538170467569	0	0
32	REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	2.39183140560179	0	0
33	REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS	2.38706316338969	0	0
34	BIOCARTA_KREB_PATHWAY	2.38299846432536	0	0
35	REACTOME_POL_SWITCHING	2.35692597919264	0	0
36	REACTOME_EXTENSION_OF_TELOMERES	2.35597624931652	0	0
37	REACTOME_G2_M_CHECKPOINTS	2.3511211206109	0	0
38	REACTOME_GLUCOSE_TRANSPORT	2.34819304637976	0	0
39	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	2.33505235374859	0	0
40	REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	2.33190511934643	0	0
41	PID_PLK1_PATHWAY	2.309446782934	0	0
42	REACTOME_DNA_REPLICATION	2.29783925092385	0	0
43	REACTOME_INTEGRATION_OF_PROVIRUS	2.29668898901616	0	0
44	REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY	2.29561467854544	0	0
45	REACTOME_LAGGING_STRAND_SYNTHESIS	2.29445439388481	0	0
46	PID_AURORA_B_PATHWAY	2.27516912275331	0	0
47	REACTOME_APOPTOSIS_INDUCED_DNA_FRAGMENTATION	2.27416172454566	0	0
48	REACTOME_PROCESSING_OF_CAPPED_INTRONLESS_PRE_MRNA	2.26811415135653	0	0
49	REACTOME_MITOCHONDRIAL_PROTEIN_IMPORT	2.26672735267801	0	0
50	REACTOME_AMINO_ACID_SYNTHESIS_AND_INTERCONVERSION_TRANSAMINATION	2.26318429095693	0	0
51	REACTOME_PROCESSING_OF_INTRONLESS_PRE_MRNAS	2.24958946697858	0	0
52	HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.24858833463973	0	0
53	PID_MYC_ACTIV_PATHWAY	2.24744780106331	0	0
54	REACTOME_UNWINDING_OF_DNA	2.24258484549203	0	0
55	PID_BARD1_PATHWAY	2.23877677492938	0	0
56	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	2.23854989409839	0	0
57	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	2.23386117967144	0	0
58	REACTOME_G1_S_SPECIFIC_TRANSCRIPTION	2.22821486777487	0	0
59	REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND	2.22649316156565	0	0
60	REACTOME_CELL_CYCLE_MITOTIC	2.22292231804137	0	0
61	REACTOME_MITOTIC_G2_G2_M_PHASES	2.20724155647724	0	0
62	REACTOME_MITOTIC_M_M_G1_PHASES	2.1892295707186	0	0
63	BIOCARTA_CELLCYCLE_PATHWAY	2.18589659500074	0	0
64	REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER	2.17377357652851	0	0
65	PID_ATR_PATHWAY	2.17309173191225	0	0
66	REACTOME_RNA_POL_II_TRANSCRIPTION	2.17202408213589	0	0
67	KEGG_MISMATCH_REPAIR	2.15326918526674	0	0
68	KEGG_CELL_CYCLE	2.14700097861703	0	0
69	REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1	2.14534819781445	0	0
70	REACTOME_EARLY_PHASE_OF_HIV_LIFE_CYCLE	2.1437930923275	0	0
71	REACTOME_GLYCOLYSIS	2.14264708802962	0	0
72	REACTOME_PROTEIN_FOLDING	2.13148750759271	0	0
73	PID_ATM_PATHWAY	2.11690090435738	0	0
74	REACTOME_E2F_ENABLED_INHIBITION_OF_PRE_REPLICATION_COMPLEX_FORMATION	2.11104744750343	0.001	0.00675490196078431
75	PID_FOXM1_PATHWAY	2.10735496585203	0	0
76	BIOCARTA_P27_PATHWAY	2.09770563539232	0	0
77	REACTOME_SYNTHESIS_AND_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES	2.09633511002368	0	0
78	REACTOME_CELL_CYCLE	2.08096734364205	0	0
79	REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS	2.08069610627517	0	0
80	REACTOME_TRNA_AMINOACYLATION	2.07825907948637	0	0
81	KEGG_RNA_DEGRADATION	2.07374105367409	0	0
82	PID_FANCONI_PATHWAY	2.06960878802566	0	0
83	REACTOME_DOUBLE_STRAND_BREAK_REPAIR	2.0642885855442	0	0
