	Compare.List	NES	pValue	qValue
1	HALLMARK_E2F_TARGETS	2.77168088370513	0	0
2	HALLMARK_MYC_TARGETS_V2	2.68416011294319	0	0
3	REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS	2.51835258493005	0	0
4	HALLMARK_G2M_CHECKPOINT	2.49940001276408	0	0
5	HALLMARK_MTORC1_SIGNALING	2.49289688714814	0	0
6	BIOCARTA_RANMS_PATHWAY	2.45393394866379	0	0
7	REACTOME_NEP_NS2_INTERACTS_WITH_THE_CELLULAR_EXPORT_MACHINERY	2.44507618448507	0	0
8	REACTOME_TRANSPORT_OF_RIBONUCLEOPROTEINS_INTO_THE_HOST_NUCLEUS	2.44505777618426	0	0
9	REACTOME_DNA_STRAND_ELONGATION	2.41530861872652	0	0
10	BIOCARTA_EIF_PATHWAY	2.38281177721693	0	0
11	REACTOME_EXTENSION_OF_TELOMERES	2.38238558982428	0	0
12	REACTOME_TRANSPORT_OF_MATURE_MRNA_DERIVED_FROM_AN_INTRONLESS_TRANSCRIPT	2.37818969980594	0	0
13	REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN	2.36427581047831	0	0
14	HALLMARK_MYC_TARGETS_V1	2.35818733574327	0	0
15	REACTOME_METABOLISM_OF_NON_CODING_RNA	2.34813567184594	0	0
16	KEGG_CITRATE_CYCLE_TCA_CYCLE	2.31292843509753	0	0
17	REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION	2.30167548638939	0	0
18	KEGG_DNA_REPLICATION	2.28735777117282	0	0
19	REACTOME_G2_M_CHECKPOINTS	2.28671446553262	0	0
20	REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM	2.28192975540105	0	0
21	PID_PLK1_PATHWAY	2.2771236157709	0	0
22	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	2.27495474364392	0	0
23	REACTOME_ACTIVATION_OF_THE_PRE_REPLICATIVE_COMPLEX	2.26490627714856	0	0
24	REACTOME_MRNA_PROCESSING	2.25499114719769	0	0
25	REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS	2.25380318324315	0	0
26	REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION	2.24554745890157	0	0
27	REACTOME_UNWINDING_OF_DNA	2.2441506033902	0	0
28	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	2.23658670118206	0	0
29	REACTOME_POL_SWITCHING	2.23177668276637	0	0
30	REACTOME_MITOTIC_PROMETAPHASE	2.22191538629252	0	0
31	SA_REG_CASCADE_OF_CYCLIN_EXPR	2.217964200821	0	0
32	REACTOME_REPAIR_SYNTHESIS_FOR_GAP_FILLING_BY_DNA_POL_IN_TC_NER	2.20975494138574	0	0
33	PID_ATR_PATHWAY	2.20833304067589	0	0
34	HALLMARK_OXIDATIVE_PHOSPHORYLATION	2.20590857415053	0	0
35	PID_BARD1_PATHWAY	2.20467486363387	0	0
36	PID_AURORA_B_PATHWAY	2.19681813715727	0	0
37	REACTOME_CLEAVAGE_OF_GROWING_TRANSCRIPT_IN_THE_TERMINATION_REGION_	2.19566018496121	0	0
