	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
1_at	6.343120731	5.732115889	6.357800615	5.595279269	6.109570659	5.60227922	5.842076029	6.027454369	6.237544791	6.114624724	5.672899177	6.558795274	5.181349922	6.921358875
10_at	0.119474436	0.359272396	0.174213739	0	0.230943968	0.201985754	0	0	0.53956647	0.399439968	0.365672396	0.270499791	0	0.502559405
100_at	0.478669288	0	0	0.299036727	0	0	0	0.301707367	0.229261664	0.312994945	0	0.476725517	1.644063574	0.963128648
1000_at	0	0	0	0	0	0	0	0	0	0.05511148	0.212215357	0.070866521	0	0
10000_at	4.375282484	4.987554181	5.119316704	4.414149903	5.194695586	5.478142632	6.267685521	5.053997902	5.373578557	5.595978548	4.239207955	5.842129955	4.79337994	3.142284221
10001_at	0	0.1430866	0	0	0	0	0	0	0	0	0	0.071340495	0	0.942547478
10002_at	0	0.123164919	0	0.089111622	0.728188816	0	0.25779659	0	0.465888313	0	0.347956857	0.119900188	0	0
10003_at	0	0	0.059649241	0	0	0	0.094988368	0	0	0.049590523	0.191962714	0.094674971	0	0.496886939
100033411_at	0	0	0	0	0	0	0	0	0	0	0	0.523791298	0	0
100037417_at	1.52660425	0.380735008	0.990552538	0.68216739	0.199530662	0.77077994	1.011926001	0.231970205	0.97727512	1.709833026	1.571344052	2.186918221	1.527955997	4.78269439
10004_at	5.230293741	5.61214835	5.579198895	5.634911216	6.027403799	6.366278809	5.49373874	5.806922796	6.305249934	6.113855493	5.014324644	6.594047114	5.380906875	5.475250939
100049587_at	1.944313694	1.262697501	1.286736051	2.170475657	0.704903335	1.624062955	1.134061416	1.937005681	1.675643452	1.550649408	2.651306077	1.747898486	1.537290586	2.605746014
10005_at	0.162667639	0	0	0.188700015	0	0	0.362959255	1.429445409	0	0.197856752	0.262311178	0.361864965	0	1.956204744
10006_at	0.205210297	0.263337676	0.184391413	0	0	0	0.197286699	0	0.214855461	0.053319829	0.140314741	0.314291431	0.238977742	0.198561562
10007_at	0.07927631	0.548461476	0.116329433	0.092388686	0.155206193	0	0.094496958	0	0	0.097028803	0.130101547	0.622647845	0	0
10008_at	5.40735546	4.290443164	4.441963554	4.158415256	2.92683275	2.781103774	3.697131427	3.487265861	4.280637566	4.783623174	4.98500907	4.401434897	4.372252809	3.339309145
