	d33009	d33018	d33031	d33039	d33120	d33209	d33211	d33369	d33413	d33430	d33451	d33455	d33512	others33013
1_at	5	4	5	4	4	4	5	4	4	4	4	5	3	5
10_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000_at	4	4	4	3	4	4	5	4	4	4	3	4	3	3
10001_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10002_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10003_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100033411_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100037417_at	2	1	1	1	1	1	1	1	1	2	2	2	1	4
10004_at	4	4	4	4	4	4	4	4	4	4	4	5	3	4
100049587_at	2	1	1	2	1	1	1	2	2	1	2	2	1	2
10005_at	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10006_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10007_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10008_at	4	3	4	3	2	2	3	3	3	3	4	3	3	3
1001_at	1	1	1	1	2	1	1	1	1	1	2	1	1	1
10010_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100101267_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100101467_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10011_at	3	1	1	2	1	2	1	2	2	3	3	3	2	5
100113407_at	2	1	1	2	1	2	1	2	1	2	2	2	2	1
100125288_at	2	2	2	2	1	1	1	1	2	2	2	2	1	3
100126572_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100127206_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100127983_at	5	5	5	5	5	5	5	5	5	5	4	5	4	4
100128071_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100128108_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100128327_at	1	1	1	1	1	1	1	1	1	1	1	2	1	1
100128496_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100128553_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100128569_at	6	4	5	4	4	4	5	5	4	4	5	5	4	6
100128731_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100128908_at	1	1	1	1	1	1	1	2	1	1	3	2	2	5
100128927_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100129083_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100129094_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
100129098_at	1	1	1	1	1	1	1	1	1	1	1	1	1	1
