GeneSym	uniConSig	Target.List	opt.cut
CD8BP	1	0	0.210439059187102
IL28A	0.967986048273335	0	0.210439059187102
IL36B	0.961539672206293	0	0.210439059187102
IL27	0.937263184696318	1	0.210439059187102
NFAM1	0.912468693899273	1	0.210439059187102
IGHV1OR15-1	0.912429590529261	0	0.210439059187102
TMIGD2	0.907109611480425	0	0.210439059187102
LILRB2	0.905390931567275	1	0.210439059187102
EBI3	0.899159528177	1	0.210439059187102
TNFSF18	0.878269483414625	0	0.210439059187102
IL29	0.877827113752774	0	0.210439059187102
CD86	0.876969186281779	1	0.210439059187102
CCR4	0.874502098080395	1	0.210439059187102
TRBV12-3	0.870418575925946	0	0.210439059187102
VTCN1	0.867874349723982	0	0.210439059187102
HHLA2	0.865819078762901	0	0.210439059187102
TNFRSF13C	0.864348766970252	0	0.210439059187102
CCR6	0.859902402002993	1	0.210439059187102
SLAMF6	0.856239533820469	0	0.210439059187102
CCR9	0.855195638554558	1	0.210439059187102
CLEC6A	0.853641364543996	0	0.210439059187102
IL23R	0.852984527550884	0	0.210439059187102
CCL4	0.852666789748256	1	0.210439059187102
CRTAM	0.851274377666863	1	0.210439059187102
SIT1	0.847568391475512	1	0.210439059187102
IL21	0.841421407372081	1	0.210439059187102
CCL25	0.838818110250567	1	0.210439059187102
DEFB108P1	0.836831545904921	0	0.210439059187102
DEFB133	0.836831545904921	0	0.210439059187102
CCL3L1	0.836463186787423	0	0.210439059187102
IL1RL2	0.836383299893127	0	0.210439059187102
CD28	0.834823962941365	1	0.210439059187102
SASH3	0.834331676280813	0	0.210439059187102
SIGLEC16	0.833432220310954	0	0.210439059187102
KLRC4-KLRK1	0.828973130833899	0	0.210439059187102
IL31	0.828324027373243	0	0.210439059187102
C1orf177	0.826281730306425	0	0.210439059187102
CD3E	0.821302928880707	1	0.210439059187102
CCL4L2	0.818372169964354	0	0.210439059187102
CCR1	0.818369659177021	1	0.210439059187102
PDCD1LG2	0.81780918413003	0	0.210439059187102
CCL3L3	0.81690774091756	0	0.210439059187102
CD80	0.815915092794236	0	0.210439059187102
CCL17	0.8112914661496	0	0.210439059187102
FCGR1C	0.805988334395257	0	0.210439059187102
CCR8	0.805749534450564	1	0.210439059187102
IL25	0.801820690125595	0	0.210439059187102
IL12RB1	0.800915125940082	0	0.210439059187102
IL28RA	0.79904552832124	0	0.210439059187102
KLRK1	0.798049738235019	0	0.210439059187102
IL17B	0.796672133181706	1	0.210439059187102
SPN	0.795413880626773	0	0.210439059187102
CCL1	0.793749468815158	0	0.210439059187102
IFNK	0.791646189103296	1	0.210439059187102
LY9	0.79122321593966	0	0.210439059187102
LILRB1	0.790886450702451	0	0.210439059187102
LAG3	0.790602841829405	0	0.210439059187102
PF4V1	0.783690730654283	0	0.210439059187102
AMICA1	0.782488040702539	0	0.210439059187102
IL23A	0.782021917475296	0	0.210439059187102
IL17A	0.781589484376287	1	0.210439059187102
LY86	0.781085112041166	1	0.210439059187102
XCL2	0.780936690829976	0	0.210439059187102
CD3G	0.780812302201115	0	0.210439059187102
DEFB112	0.780007111430295	0	0.210439059187102
DEFB131	0.780007111430295	0	0.210439059187102
S100A12	0.7790807330794	0	0.210439059187102
CLEC4D	0.778574135255657	0	0.210439059187102
TNFSF4	0.775825673020503	0	0.210439059187102
CD276	0.775279766320617	1	0.210439059187102
IL28B	0.775233580073574	0	0.210439059187102
CCR2	0.774837840287759	1	0.210439059187102
IL4	0.774070502796858	1	0.210439059187102
IL12A	0.773166563086891	1	0.210439059187102
CLEC4E	0.772695489964512	0	0.210439059187102
SIGLEC14	0.772667555206927	0	0.210439059187102
XCL1	0.771805418491832	0	0.210439059187102
IL12B	0.771371396819354	1	0.210439059187102
THEMIS	0.771158837984322	0	0.210439059187102
CTLA4	0.769740751841356	1	0.210439059187102
ICOS	0.76958705720855	0	0.210439059187102
CD6	0.767950564808581	0	0.210439059187102
CD3D	0.766663641261731	1	0.210439059187102
CMKLR1	0.763873027632986	1	0.210439059187102
IL34	0.761310615069305	0	0.210439059187102
CCL13	0.761088029458788	0	0.210439059187102
CD40LG	0.759713051532295	1	0.210439059187102
CD2	0.758362822772521	1	0.210439059187102
CLEC4C	0.757974062436782	0	0.210439059187102
ICOSLG	0.757285646274217	1	0.210439059187102
